ID VALOR DATA
A25 93 01/01/2021
B12 17,94 02/01/2021
C44 52,99 03/01/2021
E88 64,86 04/01/2021
C44 83,53 05/01/2021
B12 27,93 06/01/2021
E88 19,99 07/01/2021
A25 62,2 08/01/2021
B12 54,57 09/01/2021
C44 62,12 10/01/2021
E88 35,59 11/01/2021
A25 55,01 12/01/2021
E88 6,47 13/01/2021
B12 41,25 14/01/2021
C44 73,55 15/01/2021
E88 11,16 16/01/2021
B12 77,51 17/01/2021
A25 83,46 18/01/2021
E88 9,23 19/01/2021
A25 57,82 20/01/2021
C44 81,65 21/01/2021
E88 72,21 22/01/2021
B12 37,07 23/01/2021
A25 65,83 24/01/2021
A25 61,1 25/01/2021
B12 82,57 26/01/2021
E88 34,47 27/01/2021
C44 34,64 28/01/2021
A25 28,91 29/01/2021
E88 70,25 30/01/2021
C44 61,73 31/01/2021
B12 60,23 01/02/2021
A25 36,43 02/02/2021
B12 48,52 03/02/2021
C44 54,27 04/02/2021
E88 69,38 05/02/2021
C44 6,9 06/02/2021
B12 56,32 07/02/2021
E88 25,29 08/02/2021
A25 28,85 09/02/2021
B12 26,56 10/02/2021
C44 21,63 11/02/2021
E88 34,04 12/02/2021
A25 84,94 13/02/2021
E88 69,51 14/02/2021
B12 53,98 15/02/2021
C44 46,27 16/02/2021
E88 28,81 17/02/2021
B12 98,89 18/02/2021
A25 45,02 19/02/2021
E88 72,79 20/02/2021
A25 27,16 21/02/2021
C44 78,71 22/02/2021
E88 94,73 23/02/2021
B12 25,41 24/02/2021
A25 30,59 25/02/2021
A25 7,27 26/02/2021
B12 87,06 27/02/2021
E88 98,83 28/02/2021
C44 94,54 01/03/2021
A25 70,65 02/03/2021
E88 41,41 03/03/2021
C44 71,3 04/03/2021
B12 11,89 05/03/2021
B12 78,95 06/03/2021
A25 30,88 07/03/2021
A25 59,21 08/03/2021
B12 24,15 09/03/2021
E88 68,47 10/03/2021
C44 6,83 11/03/2021
A25 96,63 12/03/2021
E88 84,11 13/03/2021
C44 14,32 14/03/2021
B12 95,06 15/03/2021
A25 63,49 16/03/2021
B12 6,57 17/03/2021
C44 24,82 18/03/2021
E88 86,55 19/03/2021
C44 3,49 20/03/2021
B12 0,1 21/03/2021
E88 70,46 22/03/2021
A25 52,31 23/03/2021
B12 61,94 24/03/2021
C44 54,9 25/03/2021
E88 58,05 26/03/2021
A25 57,4 27/03/2021
E88 5,84 28/03/2021
B12 1,68 29/03/2021
C44 51,44 30/03/2021
E88 7,61 31/03/2021
B12 8,04 01/04/2021
A25 11,6 02/04/2021
E88 32,08 03/04/2021
A25 37,34 04/04/2021
C44 63,82 05/04/2021
E88 80,49 06/04/2021
B12 23,87 07/04/2021
A25 24,27 08/04/2021
A25 17,11 09/04/2021
B12 27,11 10/04/2021
C44 33,61 11/04/2021
E88 46,51 12/04/2021
C44 16,93 13/04/2021
B12 51,39 14/04/2021
E88 76,98 15/04/2021
A25 10,87 16/04/2021
B12 18,27 17/04/2021
C44 68 18/04/2021
E88 15,26 19/04/2021
A25 65,81 20/04/2021
E88 30,51 21/04/2021
B12 11,45 22/04/2021
C44 62,09 23/04/2021
E88 22,28 24/04/2021
B12 82,57 25/04/2021
A25 4,85 26/04/2021
E88 2,52 27/04/2021
A25 79,66 28/04/2021
C44 13,74 29/04/2021
E88 72,46 30/04/2021
B12 45,74 01/05/2021
A25 74,75 02/05/2021
A25 62,51 03/05/2021
B12 85,77 04/05/2021
E88 40,9 05/05/2021
C44 47,21 06/05/2021
A25 23,62 07/05/2021
E88 58,43 08/05/2021
C44 32,88 09/05/2021
B12 89,27 10/05/2021
A25 55,84 11/05/2021
B12 64,62 12/05/2021
C44 59,05 13/05/2021
E88 70,52 14/05/2021
C44 42,62 15/05/2021
B12 28,34 16/05/2021
E88 11,28 17/05/2021
A25 23,71 18/05/2021
B12 29,45 19/05/2021
C44 49,87 20/05/2021
E88 22,93 21/05/2021
A25 62,85 22/05/2021
E88 55,28 23/05/2021
B12 3,99 24/05/2021
C44 85,68 25/05/2021
E88 96,1 26/05/2021
B12 69,83 27/05/2021
A25 5,22 28/05/2021
E88 96,89 29/05/2021
A25 73 30/05/2021
C44 12,67 31/05/2021
E88 16,04 01/06/2021
B12 97,68 02/06/2021
A25 19,59 03/06/2021
A25 18,52 04/06/2021
B12 35,64 05/06/2021
E88 65,33 06/06/2021
C44 37,05 07/06/2021
A25 10,44 08/06/2021
E88 56,16 09/06/2021
C44 3,68 10/06/2021
B12 1,17 11/06/2021
B12 46,14 12/06/2021
A25 22,36 13/06/2021
A25 24,81 14/06/2021
B12 79,59 15/06/2021
E88 20,63 16/06/2021
C44 66,91 17/06/2021
A25 59,76 18/06/2021
E88 55,56 19/06/2021
C44 70,94 20/06/2021
B12 33,16 21/06/2021
A25 47,98 22/06/2021
B12 64,64 23/06/2021
C44 7,57 24/06/2021
E88 87,89 25/06/2021
C44 66,84 26/06/2021
B12 63,75 27/06/2021
E88 29,75 28/06/2021
A25 10,12 29/06/2021
B12 6,12 30/06/2021
C44 27,66 01/07/2021
E88 93,52 02/07/2021
A25 41,98 03/07/2021
E88 51,78 04/07/2021
B12 83,42 05/07/2021
C44 88,67 06/07/2021
E88 70,1 07/07/2021
B12 75,02 08/07/2021
A25 61 09/07/2021
E88 15,86 10/07/2021
A25 49,39 11/07/2021
C44 7,86 12/07/2021
E88 87,55 13/07/2021
B12 17,88 14/07/2021
A25 45 15/07/2021
A25 48,02 16/07/2021
E88 82,97 17/07/2021
A25 48,11 18/07/2021
C44 31,11 19/07/2021
E88 18,38 20/07/2021
B12 21,74 21/07/2021
A25 55,79 22/07/2021
A25 21,43 23/07/2021
B12 66,63 24/07/2021
E88 41,15 25/07/2021
C44 42,59 26/07/2021
A25 81,86 27/07/2021
E88 0,31 28/07/2021
C44 66,64 29/07/2021
B12 46,78 30/07/2021
B12 41,94 31/07/2021
A25 27,84 01/08/2021
A25 3,63 02/08/2021
B12 22,55 03/08/2021
E88 9,85 04/08/2021
C44 86,15 05/08/2021
A25 27,8 06/08/2021
E88 97,49 07/08/2021
C44 73,85 08/08/2021
B12 11,49 09/08/2021
A25 59,66 10/08/2021
B12 53,83 11/08/2021
C44 71,95 12/08/2021
E88 67,37 13/08/2021
C44 61,47 14/08/2021
B12 65,85 15/08/2021
E88 37,53 16/08/2021
A25 69,8 17/08/2021
B12 7,74 18/08/2021
C44 94,8 19/08/2021
E88 2,67 20/08/2021
A25 80,48 21/08/2021
E88 60,17 22/08/2021
B12 8,85 23/08/2021
C44 68,23 24/08/2021
E88 68,58 25/08/2021
B12 52,65 26/08/2021
A25 92,54 27/08/2021
E88 29,76 28/08/2021
A25 3,49 29/08/2021
A25 40,35 30/08/2021
B12 23,09 31/08/2021
C44 41,9 01/09/2021
E88 23,25 02/09/2021
C44 50,65 03/09/2021
B12 50,19 04/09/2021
E88 82,74 05/09/2021
A25 66,12 06/09/2021
B12 59,25 07/09/2021
C44 25,15 08/09/2021
E88 29,74 09/09/2021
A25 73,5 10/09/2021
E88 43,89 11/09/2021
B12 61,45 12/09/2021
C44 33,3 13/09/2021
E88 80,38 14/09/2021
B12 68,87 15/09/2021
A25 35,39 16/09/2021
E88 54,73 17/09/2021
A25 89,88 18/09/2021
C44 20,06 19/09/2021
E88 12,4 20/09/2021
B12 2,2 21/09/2021
A25 25,09 22/09/2021
A25 13,93 23/09/2021
B12 25,47 24/09/2021
E88 4,13 25/09/2021
C44 28,94 26/09/2021
A25 87,8 27/09/2021
E88 42,21 28/09/2021
C44 24,89 29/09/2021
B12 45,57 30/09/2021
A25 40,77 01/10/2021
B12 35,45 02/10/2021
C44 82,64 03/10/2021
E88 75,93 04/10/2021
C44 30,01 05/10/2021
B12 17,06 06/10/2021
E88 65,33 07/10/2021
A25 2,43 08/10/2021
B12 11,88 09/10/2021
C44 57,61 10/10/2021
E88 93,63 11/10/2021
A25 18,03 12/10/2021
E88 22,55 13/10/2021
B12 30,77 14/10/2021
C44 98,48 15/10/2021
E88 76,99 16/10/2021
B12 31,37 17/10/2021
A25 72,09 18/10/2021
E88 52,03 19/10/2021
A25 48,19 20/10/2021
C44 85,08 21/10/2021
E88 35,68 22/10/2021
B12 42,57 23/10/2021
A25 92,45 24/10/2021
A25 79,48 25/10/2021
B12 47,03 26/10/2021
E88 61,96 27/10/2021
C44 7,29 28/10/2021
A25 88,33 29/10/2021
E88 51,62 30/10/2021
C44 39,76 31/10/2021
B12 31,17 01/11/2021
B12 3,12 02/11/2021
A25 8,24 03/11/2021
A25 88,07 04/11/2021
B12 37,03 05/11/2021
E88 14,83 06/11/2021
C44 48,15 07/11/2021
A25 75,6 08/11/2021
E88 84,33 09/11/2021
C44 61,91 10/11/2021
B12 83,51 11/11/2021
A25 91,13 12/11/2021
B12 63,49 13/11/2021
C44 13,24 14/11/2021
E88 92,52 15/11/2021
C44 16,15 16/11/2021
B12 80,74 17/11/2021
E88 7,19 18/11/2021
A25 73,39 19/11/2021
B12 48,26 20/11/2021
C44 83,59 21/11/2021
E88 92,15 22/11/2021
A25 48,27 23/11/2021
E88 42,47 24/11/2021
B12 64,17 25/11/2021
C44 11,72 26/11/2021
E88 18,71 27/11/2021
B12 17,64 28/11/2021
A25 80,57 29/11/2021
E88 24,84 30/11/2021
A25 59,58 01/12/2021
C44 50,59 02/12/2021
E88 57,75 03/12/2021
B12 97,48 04/12/2021
A25 39,62 05/12/2021
A25 83,23 06/12/2021
B12 87,91 07/12/2021
C44 15,54 08/12/2021
E88 69,56 09/12/2021
C44 3,26 10/12/2021
B12 18,32 11/12/2021
E88 88,44 12/12/2021
A25 47,71 13/12/2021
B12 37,03 14/12/2021
C44 18,1 15/12/2021
E88 84,82 16/12/2021
A25 83,08 17/12/2021
E88 25,16 18/12/2021
B12 23,63 19/12/2021
C44 97,51 20/12/2021
E88 54,04 21/12/2021
B12 15,95 22/12/2021
A25 66,23 23/12/2021
E88 21,08 24/12/2021
A25 68,71 25/12/2021
C44 33,21 26/12/2021
E88 96,06 27/12/2021
B12 96,71 28/12/2021
A25 57,41 29/12/2021
A25 82,61 30/12/2021
B12 1,75 31/12/2021
