ID VALOR DATA
A25 16,28 01/01/2022
B12 28,89 02/01/2022
C44 28,8 03/01/2022
E88 4,68 04/01/2022
B12 15,81 05/01/2022
A25 11,9 06/01/2022
B12 19,56 07/01/2022
C44 7,82 08/01/2022
B12 4,04 09/01/2022
E88 2,44 10/01/2022
A25 14,17 11/01/2022
C44 26,39 12/01/2022
E88 83,58 13/01/2022
B12 48,39 14/01/2022
E88 80,64 15/01/2022
C44 11,71 16/01/2022
B12 16,52 17/01/2022
A25 72,47 18/01/2022
E88 79,84 19/01/2022
C44 6,41 20/01/2022
B12 14,46 21/01/2022
A25 40,66 22/01/2022
B12 5,28 23/01/2022
C44 26,87 24/01/2022
A25 57,88 25/01/2022
E88 4,96 26/01/2022
C44 60,86 27/01/2022
C44 41,28 28/01/2022
C44 66,65 29/01/2022
B12 35,51 30/01/2022
C44 74,28 31/01/2022
A25 29,24 01/02/2022
E88 96,37 02/02/2022
B12 41,46 03/02/2022
A25 34,88 04/02/2022
E88 59,47 05/02/2022
B12 17,69 06/02/2022
A25 98,18 07/02/2022
C44 10,93 08/02/2022
C44 34,12 09/02/2022
A25 58,74 10/02/2022
E88 69,68 11/02/2022
C44 38,4 12/02/2022
B12 14,77 13/02/2022
E88 23,29 14/02/2022
A25 27,46 15/02/2022
B12 89,88 16/02/2022
B12 18,72 17/02/2022
A25 20,98 18/02/2022
B12 32,18 19/02/2022
C44 30,59 20/02/2022
E88 39,75 21/02/2022
B12 8,73 22/02/2022
A25 25,46 23/02/2022
B12 9,06 24/02/2022
C44 88,65 25/02/2022
B12 68,2 26/02/2022
E88 40,46 27/02/2022
A25 71,83 28/02/2022
C44 21,92 01/03/2022
E88 59,22 02/03/2022
B12 45,05 03/03/2022
E88 47,09 04/03/2022
C44 81,27 05/03/2022
B12 10,69 06/03/2022
A25 31,88 07/03/2022
E88 71,32 08/03/2022
C44 23,41 09/03/2022
B12 51,94 10/03/2022
A25 15,37 11/03/2022
B12 35,3 12/03/2022
C44 51,46 13/03/2022
A25 31,28 14/03/2022
E88 77,39 15/03/2022
B12 19,78 16/03/2022
A25 97,69 17/03/2022
E88 61,85 18/03/2022
B12 4,91 19/03/2022
A25 21,99 20/03/2022
C44 78,8 21/03/2022
C44 96,41 22/03/2022
A25 56,72 23/03/2022
E88 24,07 24/03/2022
C44 58,49 25/03/2022
B12 84,36 26/03/2022
E88 45,1 27/03/2022
A25 56,17 28/03/2022
E88 90,58 29/03/2022
B12 24,05 30/03/2022
B12 49,87 31/03/2022
A25 64,47 01/04/2022
B12 52,75 02/04/2022
C44 35,26 03/04/2022
E88 44,3 04/04/2022
B12 89,45 05/04/2022
A25 86,37 06/04/2022
B12 1,95 07/04/2022
C44 52,28 08/04/2022
B12 39,22 09/04/2022
E88 67,23 10/04/2022
A25 11,49 11/04/2022
C44 7,47 12/04/2022
E88 74,52 13/04/2022
B12 30,43 14/04/2022
E88 64,58 15/04/2022
C44 81,17 16/04/2022
B12 63,28 17/04/2022
A25 27,02 18/04/2022
E88 52,38 19/04/2022
C44 14,32 20/04/2022
B12 19,15 21/04/2022
A25 85,9 22/04/2022
B12 42,44 23/04/2022
C44 34,74 24/04/2022
A25 76,66 25/04/2022
E88 23,92 26/04/2022
C44 16,65 27/04/2022
C44 67,93 28/04/2022
C44 92,5 29/04/2022
B12 10,57 30/04/2022
C44 98,31 01/05/2022
A25 35,35 02/05/2022
E88 3,28 03/05/2022
B12 51,91 04/05/2022
A25 12,24 05/05/2022
E88 96,87 06/05/2022
B12 13,28 07/05/2022
A25 39,8 08/05/2022
C44 70,84 09/05/2022
C44 44,58 10/05/2022
A25 96,65 11/05/2022
E88 89,25 12/05/2022
C44 74,25 13/05/2022
B12 56,95 14/05/2022
E88 88,02 15/05/2022
A25 93,15 16/05/2022
A25 42,92 17/05/2022
B12 47,23 18/05/2022
C44 89,8 19/05/2022
E88 36,55 20/05/2022
B12 48,49 21/05/2022
A25 5,86 22/05/2022
B12 47,1 23/05/2022
C44 11,07 24/05/2022
B12 84,79 25/05/2022
E88 87,46 26/05/2022
A25 38,22 27/05/2022
C44 74,74 28/05/2022
E88 58,43 29/05/2022
B12 68,47 30/05/2022
E88 57,89 31/05/2022
C44 59,92 01/06/2022
B12 31,69 02/06/2022
A25 47,11 03/06/2022
E88 67,51 04/06/2022
C44 45,38 05/06/2022
B12 69,7 06/06/2022
A25 36,21 07/06/2022
B12 47,74 08/06/2022
C44 23,22 09/06/2022
A25 53,93 10/06/2022
E88 20,61 11/06/2022
C44 43,17 12/06/2022
C44 27,77 13/06/2022
C44 47,34 14/06/2022
B12 33,02 15/06/2022
C44 87,57 16/06/2022
A25 0,9 17/06/2022
E88 25,2 18/06/2022
B12 11,67 19/06/2022
A25 78,03 20/06/2022
E88 62,25 21/06/2022
B12 94,4 22/06/2022
A25 45,97 23/06/2022
C44 71,96 24/06/2022
C44 3,17 25/06/2022
A25 5,98 26/06/2022
E88 30,69 27/06/2022
C44 2,51 28/06/2022
B12 46,88 29/06/2022
E88 32,26 30/06/2022
A25 12,99 01/07/2022
B12 71,84 02/07/2022
B12 3,71 03/07/2022
A25 64,71 04/07/2022
B12 91,45 05/07/2022
C44 62,23 06/07/2022
E88 98,15 07/07/2022
B12 2,93 08/07/2022
A25 46,93 09/07/2022
B12 89,2 10/07/2022
C44 92,56 11/07/2022
B12 7,33 12/07/2022
E88 31,39 13/07/2022
A25 85,05 14/07/2022
C44 86,94 15/07/2022
E88 75,67 16/07/2022
B12 72,5 17/07/2022
E88 91,18 18/07/2022
C44 27,48 19/07/2022
B12 52,39 20/07/2022
A25 20,27 21/07/2022
E88 86,71 22/07/2022
C44 71,36 23/07/2022
B12 41,97 24/07/2022
A25 79,98 25/07/2022
B12 93,41 26/07/2022
C44 48,04 27/07/2022
A25 4,89 28/07/2022
E88 46,41 29/07/2022
B12 40,42 30/07/2022
A25 5,49 31/07/2022
E88 10,87 01/08/2022
B12 47,87 02/08/2022
A25 61,88 03/08/2022
C44 0,97 04/08/2022
C44 19,58 05/08/2022
A25 14,33 06/08/2022
E88 81,44 07/08/2022
C44 14,19 08/08/2022
B12 73,36 09/08/2022
E88 29,97 10/08/2022
A25 10,77 11/08/2022
E88 40,06 12/08/2022
B12 31,76 13/08/2022
B12 10,28 14/08/2022
A25 14,7 15/08/2022
B12 18,31 16/08/2022
C44 39,37 17/08/2022
E88 56,59 18/08/2022
B12 91,56 19/08/2022
A25 60,29 20/08/2022
B12 1,17 21/08/2022
C44 50,9 22/08/2022
B12 57,26 23/08/2022
E88 6,85 24/08/2022
A25 40,14 25/08/2022
C44 77,87 26/08/2022
E88 11,43 27/08/2022
B12 59,36 28/08/2022
E88 87,14 29/08/2022
C44 65,87 30/08/2022
B12 82,52 31/08/2022
A25 65,46 01/09/2022
E88 30,13 02/09/2022
C44 81,09 03/09/2022
B12 54,97 04/09/2022
A25 27,1 05/09/2022
B12 26,43 06/09/2022
C44 94,26 07/09/2022
A25 39,49 08/09/2022
E88 80,05 09/09/2022
C44 17,89 10/09/2022
C44 33,85 11/09/2022
C44 74,89 12/09/2022
B12 72,59 13/09/2022
C44 31,84 14/09/2022
A25 10,9 15/09/2022
E88 8,59 16/09/2022
B12 98,44 17/09/2022
A25 68,17 18/09/2022
E88 26,96 19/09/2022
B12 46 20/09/2022
A25 31,56 21/09/2022
C44 84,35 22/09/2022
C44 40,7 23/09/2022
A25 29,97 24/09/2022
E88 37,78 25/09/2022
C44 11,36 26/09/2022
B12 62,53 27/09/2022
E88 69,05 28/09/2022
A25 58,58 29/09/2022
A25 51,55 30/09/2022
B12 57,6 01/10/2022
C44 48,13 02/10/2022
E88 11,11 03/10/2022
B12 64,24 04/10/2022
A25 45,35 05/10/2022
B12 12,36 06/10/2022
C44 61,34 07/10/2022
B12 79,39 08/10/2022
E88 75,35 09/10/2022
A25 46,24 10/10/2022
C44 9,93 11/10/2022
E88 80,41 12/10/2022
B12 12,11 13/10/2022
E88 19,57 14/10/2022
C44 37,15 15/10/2022
B12 52,11 16/10/2022
A25 17,18 17/10/2022
E88 80,46 18/10/2022
C44 57 19/10/2022
B12 5,73 20/10/2022
A25 9,19 21/10/2022
B12 44,94 22/10/2022
C44 35,51 23/10/2022
A25 52,39 24/10/2022
E88 3,5 25/10/2022
C44 37,7 26/10/2022
C44 62,69 27/10/2022
C44 38,87 28/10/2022
B12 52,18 29/10/2022
C44 71,31 30/10/2022
A25 3,41 31/10/2022
E88 50,83 01/11/2022
B12 37,68 02/11/2022
A25 15,64 03/11/2022
E88 92,97 04/11/2022
B12 3,09 05/11/2022
A25 68,57 06/11/2022
C44 28,67 07/11/2022
C44 60,52 08/11/2022
A25 38,22 09/11/2022
E88 76,42 10/11/2022
C44 19,3 11/11/2022
B12 88,55 12/11/2022
E88 88,75 13/11/2022
A25 94,04 14/11/2022
B12 60,13 15/11/2022
B12 98,25 16/11/2022
A25 32,14 17/11/2022
B12 63,87 18/11/2022
C44 23,58 19/11/2022
E88 71,38 20/11/2022
B12 62,96 21/11/2022
A25 21,02 22/11/2022
B12 83,52 23/11/2022
C44 56,92 24/11/2022
B12 75,85 25/11/2022
E88 83,04 26/11/2022
A25 14,95 27/11/2022
C44 86,2 28/11/2022
E88 83,99 29/11/2022
B12 95,23 30/11/2022
E88 47,52 01/12/2022
C44 63,01 02/12/2022
B12 51,84 03/12/2022
A25 59,98 04/12/2022
E88 44,72 05/12/2022
C44 49,6 06/12/2022
B12 78,79 07/12/2022
A25 97,08 08/12/2022
B12 13,75 09/12/2022
C44 8,45 10/12/2022
A25 0,18 11/12/2022
E88 92,29 12/12/2022
B12 80,55 13/12/2022
A25 9,61 14/12/2022
E88 25,95 15/12/2022
B12 2,72 16/12/2022
A25 69,16 17/12/2022
C44 3,43 18/12/2022
C44 8,69 19/12/2022
A25 33,05 20/12/2022
E88 61,97 21/12/2022
C44 42,84 22/12/2022
B12 93,24 23/12/2022
E88 31,9 24/12/2022
A25 29,42 25/12/2022
E88 26,85 26/12/2022
B12 21,17 27/12/2022
B12 86,48 28/12/2022
A25 1,96 29/12/2022
B12 3,29 30/12/2022
C44 31,71 31/12/2022
